Date,Amount,Title,Description
2026-02-09 00:00:00,1500.0,"Water tin(50*30=1500 for the month of Sep2025)",""
2026-02-09 00:00:00,5900.0,"Milk for the Month of Feb",""
2026-02-05 00:00:00,712.0,"1kg Red lable, 5kg sugar",""
2026-02-04 00:00:00,207.0,"UrbanClap tap fitting",""
2026-02-04 00:00:00,450.0,"New steel tap(as old one broken)",""
2026-02-03 00:00:00,110.0,"Steel Tap for balcony shink",""
2026-02-03 00:00:00,365.0," Courier for Satrac company- DTDC(360/-)(with cover 5rs)",""
2026-01-29 00:00:00,429.0,"Red lable 1kg - milk basket",""
2026-01-28 00:00:00,825.0,"Rajesh Birthday cake",""
2026-01-27 00:00:00,750.0,"Sai Birthday cake",""
2026-01-19 00:00:00,378.04,"odonil freshners-2, vim soaps(12),Gala washroom brush-1- Zepto",""
2026-01-13 00:00:00,717.0,"Red lable 1kg, sugar 5kg",""
2026-01-09 00:00:00,193.75,"Nag sir lunch(Veg biryani from Green park)",""
2025-12-31 00:00:00,7340.0,"Milk for the Month of Dec(220 packets*32)+300delivery",""
,,,
TOTAL,19876.79,,
